"language","aid","item","kb_current_time","tag","pop_type","sticker_id","session_id","channel","package_name"
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543274057","""\uD83D\uDE14""","""magic""","""f18b4023-f6d4-4dd1-b0c7-a8a54156b299""","""stickerWEB2Cwg8L5i2LuDAUmJpaL20181127071328182""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543274114","""mir""","""magic""","""1569327""","""kIkaCeReS0003FNzZa9uhUdeVUyRQpe2eX420181127070436625""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543274203","""po""","""magic""","""2156156""","""kIkaCeReS0003YKCzs7pYxHwTo5ShvjM6s920181127070532842""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543274237","""mo""","""magic""","""8ab4acc6-45f0-4f3b-9ed0-f335f909135a""","""stickervm4CroEpcBmnNaBzsZRKoE20181123071737115""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280817","""ji""","""magic""","""88def422-b1d3-41f9-a360-71db6262929b""","""stickerjpwqEPj2cTxruKyd78mV820181120065518978""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280982","""po""","""magic""","""2155704""","""kIkaCeReS0003xaXwtzFoFUGCQCDcCx2ZyE20181127090319285""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543281073","""mos""","""magic""","""1c753911-b4d5-4ad9-91c3-4a6f93db0cac""","""stickerXxanfkPSFrLXYsb68RLpEH20181127030755601""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543270385","""\uD83D\uDE14""","""magic""","""e48f776b-35c8-47c2-a442-093dec7d984e""","""kIkaCeReS0003Cdv3BPit4nVi4BrJjtWF8f20181127031022035""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543270551","""\uD83D\uDE0D\uD83D\uDE0D\uD83D\uDE0D\uD83D\uDE0D\uD83D\uDE0D""","""magic""","""342f6552-0b73-460c-9647-fe5d93be9127""","""stickerNEzQjmhz4o7U7CTyxs2fiH20181125055123973""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543271744","""\uD83D\uDE0C""","""magic""","""d90c7ae2-5a41-466e-a41c-419f75ba3ee4""","""kIkaCeReS0003KAcebGiFpMdR7QgAAvSAq420181127021513572""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543271908","""po""","""magic""","""2155976""","""kIkaCeReS0003HWmURairse69uRbSJLszyX20181127040128139""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543271960","""\uD83D\uDE14""","""magic""","""f11654ee-cdcb-4a36-ba5b-b82b2fad0807""","""stickergJVybP4bErw3imcfqF5Na420181127061305841""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543279224","""up""","""magic""","""1566642""","""kIkaCeReS0003svWSPJE6QUQb5mVC7v5rQ820181127072623732""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543278246","""pse""","""magic""","""2155599""","""kIkaCeReS0003Wo7Vq27B64khtBufr6nV2d20181127003319115""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543281179","""seen""","""magic""","""2117003""","""kIkaCeReS0003dRCfERvKKFji5zdqpb8yRJ20181127082252860""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543273295","""po""","""magic""","""1569426""","""kIkaCeReS0003vcNbvJ3Zyjbx8ebTUqGCCd20181127063828949""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543273475","""mir""","""magic""","""85ea2fdd-aea6-4649-bca8-de4fe927f91b""","""stickerMUzABwgTCgTEnkN3LyBsWj20181126054720467""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543274007","""\uD83D\uDE14""","""magic""","""6c8da8e4-e9e6-4314-b7f0-b46b2c96117c""","""kIkaCeReS0003DtxEWMQQsbPitf7cN3R3n320181127071327792""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280115","""po""","""magic""","""1565803""","""kIkaCeReS0003GzVdfoPAvFRCJtLkLC4RaQ20181127084250385""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280201","""po""","""magic""","""1568561""","""kIkaCeReS0003kN92xoAvQUnkMapGA8eLpN20181127085516196""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280217","""po""","""magic""","""2156156""","""kIkaCeReS00037HwQKnL3WStuTBuBeu6nfM20181127085642981""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280366","""te""","""magic""","""1568008""","""kIkaCeReS0003XpY22Qu9H57CTqUspFtQXR20181127085129094""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280454","""te""","""magic""","""1569431""","""kIkaCeReS0003krVs7A5Qk9HjzFXP3NbXAD20181127090016073""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280547","""po""","""magic""","""1566642""","""kIkaCeReS00038Rz8a8ddwtycsucy7JCpu320181127090052558""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280592","""po""","""magic""","""1566504""","""kIkaCeReS0003DPTt3SAksyB8HR8nuzM8wd20181127090229244""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543280613","""mir""","""magic""","""85ea2fdd-aea6-4649-bca8-de4fe927f91b""","""sticker3UydpmXhzYw9Df4nAtkCw620181127082109857""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543277121","""mir""","""magic""","""2155976""","""kIkaCeReS0003J8vqY8o8a7LXegiocZEdHe20181127073424914""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543277126","""\uD83D\uDE36""","""magic""","""58749031-9b1e-4c6a-b3c8-1fe8c8b69ed4""","""stickermu2QVQYdA3LZyg2Ew9rw9720181127080526240""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543277413","""ne""","""magic""","""1569426""","""kIkaCeReS0003ZuEQgq5qK7fLKkvgaKZxng20181127081013457""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543275221","""\uD83D\uDC94""","""magic""","""88ceb7e7-9267-4ae1-9a18-3e931d6d2e73""","""stickero7u9DrNxdg43JQra87B4mC20181126061808916""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543275264","""mir""","""magic""","""1569327""","""kIkaCeReS0003FnG6Vh7vibjyjNZ7JhLFV320181127071515494""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543277437","""te""","""magic""","""1848186""","""kIkaCeReS0003CkDLkttpDCdohtZpZm8z8D20181127081037844""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543277705","""po""","""magic""","""1568561""","""kIkaCeReS0003XSKzEbaNPJpqAqvmLqzL8n20181127081348035""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543278068","""mir""","""magic""","""85ea2fdd-aea6-4649-bca8-de4fe927f91b""","""stickerXRrqi3DxPuMtAMqXyk8DTi20181127080522371""",,"""com.whatsapp"""
"en_GB","a3dc5d3c25be85bad292eebbb2a20a065f216063","pop_show","1543271389","""\uD83D\uDE0F""","""magic""","""6c8da8e4-e9e6-4314-b7f0-b46b2c96117c""","""kIkaCeReS0003dXgm5hwe2jBMzvpS9B94Fb20181126063607480""",,"""com.whatsapp"""
